data,phone,company,country,date,other,predicted_label,company_score,country_score,date_score,other_score,phone_score,ParsedCountry,ParsedNumber,ParsedCompanyName,ParsedLegalSuffix
(896) 991-2378,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
(150) 199-8786,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-1867,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
-113960,0,0,0,0,1,other,0.03,0.0,0.33,0.36,0.28, , , , 
543.961.3404,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
Call (344) 720-6978,1,0,0,0,0,phone,0.165,0.145,0.0,0.12,0.57, , , , 
681-478-1408,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-191043,0,0,0,0,1,other,0.03,0.0,0.33,0.36,0.28, , , , 
(098) 359-6049,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
Call +91-82135-02995,1,0,0,0,0,phone,0.14,0.155,0.0,0.115,0.59,IN,8213502995, , 
Call 116.742.5788,1,0,0,0,0,phone,0.12,0.195,0.0,0.11,0.575, , , , 
119-551-2392,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
580-987-2645,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
Call (756) 644-9877,1,0,0,0,0,phone,0.165,0.145,0.0,0.12,0.57, , , , 
754-887-1011,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
(878) 381-3263,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
Call +91-39864-52156,1,0,0,0,0,phone,0.14,0.155,0.0,0.115,0.59, , , , 
-133764,0,0,0,0,1,other,0.03,0.0,0.33,0.36,0.28, , , , 
-9911,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
739.235.2097,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
(422) 920-2451,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
573.819.0903,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-95409,0,0,0,0,1,other,0.035,0.0,0.31,0.49,0.165, , , , 
094.200.5884,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-74324,0,0,0,0,1,other,0.035,0.0,0.31,0.49,0.165, , , , 
-81070,0,0,0,0,1,other,0.035,0.0,0.31,0.49,0.165, , , , 
-103427,0,0,0,0,1,other,0.03,0.0,0.33,0.36,0.28, , , , 
-5597,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
-2174,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
-1107,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
(648) 906-1483,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-2436,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
-183187,0,0,0,0,1,other,0.03,0.0,0.33,0.36,0.28, , , , 
729.922.1482,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-197145,0,0,0,0,1,other,0.03,0.0,0.33,0.36,0.28, , , , 
-6161,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
338.439.0731,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
719-560-4288,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-42743,0,0,0,0,1,other,0.035,0.0,0.31,0.49,0.165, , , , 
003.824.2390,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
488.835.6627,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
(359) 062-7010,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-46087,0,0,0,0,1,other,0.035,0.0,0.31,0.49,0.165, , , , 
-140600,0,0,0,0,1,other,0.03,0.0,0.33,0.36,0.28, , , , 
849.679.2760,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
407.866.9162,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
236-955-5752,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
975-061-8888,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
106-711-0450,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-3707,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
-107824,0,0,0,0,1,other,0.03,0.0,0.33,0.36,0.28, , , , 
(855) 266-1943,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
Call 276.130.3411,1,0,0,0,0,phone,0.12,0.195,0.0,0.11,0.575, , , , 
Call +91-60142-64096,1,0,0,0,0,phone,0.14,0.155,0.0,0.115,0.59,IN,6014264096, , 
(470) 170-1347,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
376-061-7910,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-8723,0,0,0,0,1,other,0.035,0.0,0.31,0.52,0.135, , , , 
(269) 139-3965,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
020-151-7243,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
525.078.3703,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
303-076-8563,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
(577) 472-7259,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
304.703.4050,1,0,0,0,0,phone,0.0,0.0,0.0,0.0,1.0, , , , 
-93461,0,0,0,0,1,other,0.035,0.0,0.31,0.49,0.165, , , , 
